Could not save category: %1,ไม่สามารถบันทึกหมวดหมู่: %1
Could not replace Tier Prices,ไม่สามารถแทนที่ระดับราคาได้
Could not remove custom option,ไม่สามารถลบตัวเลือกที่กำหนดเอง
Could not move category,ไม่สามารถย้ายหมวดหมู่
Could not get extension attributes,ไม่สามารถรับแอตทริบิวต์ส่วนขยาย
Could not delete Tier Prices,ไม่สามารถลบระดับราคาได้
Could not delete Prices,ไม่สามารถลบราคา
"Could not assign product ""%1"" to websites ""%2""","ไม่สามารถกำหนดผลิตภัณฑ์ ""%1"" ให้กับเว็บไซต์ ""%2"""
Copy Data from,คัดลอกข้อมูลจาก
Content,เนื้อหา
Configure Product,กำหนดค่าผลิตภัณฑ์
Compatible file extensions to upload,นามสกุลไฟล์ที่ใช้ร่วมกันเพื่ออัปโหลด
Compatible File Extensions,ส่วนขยายของแฟ้มที่ใช้ร่วมกันได้
Compare Products,เปรียบเทียบสินค้า
Compared Products List Template,เทมเพลตรายการสินค้าเปรียบเทียบ
Compared Products Grid Template,เทมเพลตตารางเปรียบเทียบผลิตภัณฑ์
Compare,เปรียบเทียบ
Comparable on Storefront,เปรียบเทียบได้ที่หน้าร้าน
Comparable,เปรียบเทียบ
Comma-separated.,คั่นด้วยเครื่องหมายจุลภาค
Collection provider is not registered,ไม่ได้ลงทะเบียนผู้ให้บริการคอลเล็กชัน
Collapse All,ยุบทั้งหมด
Close Window,ปิดหน้าต่าง
Click for price,คลิกเพื่อดูราคา
Clear Price,ล้างราคา
Clear All,ล้างทั้งหมด
Choose existing category.,เลือกหมวดหมู่ที่มีอยู่
Check items to add to the cart or,เลือกสินค้าที่ต้องการใส่รถเข็นหรือ
Change Status,เปลี่ยนแปลงสถานะ
Change status,เปลี่ยนแปลงสถานะ
Changes have been made to this section that have not been saved.,มีการเปลี่ยนแปลงในส่วนนี้ซึ่งยังไม่ได้บันทึก
Change,เปลี่ยนแปลง
Center,ตรงกลาง
Category Top Navigation,หมวดหมู่การนำทางยอดนิยม
Category Products,ประเภทสินค้า
Category Name,ชื่อสินค้า
Category Link Inline Template,ประเภทลิงก์แม่แบบอินไลน์
Category Link Block Template,เทมเพลตบล็อกการเชื่อมโยงหมวดหมู่
Category is not available for requested store.,หมวดหมู่ไม่สามารถใช้ได้สำหรับร้านที่ต้องการ
Category Information,ข้อมูลหมวดหมู่
Category Image,รูปภาพหมวดหมู่
Category Flat Data,ประเภทข้อมูลแบบแบน
Category does not contain specified product,หมวดหมู่ไม่มีผลิตภัณฑ์ที่ระบุ
Category,ประเภท
Categories,หมวดหมู่สินค้า
Catalog Section,"รายการสินค้า, ค้นหา"
Catalog Product Link,ลิงค์ผลิตภัณฑ์แคตาล็อก
Catalog Price Scope,ขอบเขตราคาของแค็ตตาล็อก
Catalog New Products List,ขอบเขตราคารายการสินค้า
Catalog Input Type for Store Owner,ประเภทการนำเข้าข้อมูลจากรายการสินค้าสำหรับเจ้าของร้าน
Catalog Category Link,ลิงค์หมวดหมู่หมวดหมู่
"Catalog, Search","แคตาล็อก, ค้นหา"
Catalog,รายการสินค้า
Cannot save product.,ไม่สามารถบันทึกผลิตภัณฑ์ได้
Cannot delete category with id %1,ไม่สามารถลบหมวดหมู่ที่มี ID %1 ได้
Can not create attribute set based on not existing attribute set,ไม่สามารถสร้างชุดแอตทริบิวต์ตามชุดแอตทริบิวต์ที่มีอยู่
Can not create attribute set based on non product attribute set.,ไม่สามารถสร้างชุดแอตทริบิวต์ตามชุดผลิตภัณฑ์ที่ไม่ใช่ผลิตภัณฑ์
Cancel,ยกเลิก
Can't delete root category.,ไม่สามารถลบหมวดหมู่รากได้
Cache Lifetime (Seconds),อายุการใช้งาน Cache (วินาที)
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","ซื้อ %1 สำหรับ %2 แต่ละรายการและ <strong class = ""benefits""> บันทึก <span class = ""percent tier %3"">%4</ span>%</ strong>"
Buy %1 for %2 each,ซื้อ %1 สำหรับ %2 แต่ละรายการ
Buy %1 for:,ซื้อ %1 สำหรับ:
Buttons to show,ปุ่มสำหรับแสดง
Browse to find or drag image here,เรียกดูเพื่อค้นหาหรือลากภาพที่นี่
Bottom/Right,ล่าง/ขวา
Bottom/Left,ล่าง/ซ้าย
Block after Info Column,บล็อกหลังจากคอลัมน์ข้อมูล
Basic Settings,การตั้งค่าพื้นฐาน
Based On,อยู่บนพื้นฐานของ
Base,พื้นฐาน
Bad value was supplied.,มีค่าไม่ถูกต้อง
Bad controller interface for showing product,อินเทอร์เฟซตัวควบคุมที่ไม่ถูกต้องสำหรับการแสดงผลิตภัณฑ์
Backorders,คำสั่งซื้อล่วงหน้า
Back,ย้อนกลับ
Available Product Listing Sort By,มีสินค้าเรียงตาม
Availability,สถานะของสินค้า
Automatic (equalize product counts),อัตโนมัติ (นับจำนวนผลิตภัณฑ์)
Automatic (equalize price ranges),อัตโนมัติ (เกลี่ยช่วงราคา)
AttributeSetText,AttributeSetText
Attribute Sets,ชุดแอตทริบิวต์
Attribute Set already exists.,ชุดแอตทริบิวต์
Attribute Set,ชุดแอตทริบิวต์
Attributes,แอตทริบิวต์
Attribute Properties,คุณสมบัติของแอตทริบิวต์
Attribute Label,ป้ายแอตทริบิวต์
Attribute Information,ข้อมูลแอตทริบิวต์
Attribute group that contains system attributes can not be deleted,กลุ่มแอตทริบิวต์ที่มีแอตทริบิวต์ระบบไม่สามารถลบได้
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","รหัสแอตทริบิวต์ ""%1"" ไม่ถูกต้อง โปรดใช้เฉพาะตัวอักษร (a-z), ตัวเลข (0-9) หรือขีดล่าง (_) ในฟิลด์นี้อักขระตัวแรกควรเป็นตัวอักษร"
Attribute Code,รหัสแอตทริบิวต์
"Attribute ""%1"" is required.","ต้องระบุแอตทริบิวต์ ""%1"""
Attribute '%1' is locked. %2,แอตทริบิวต์ '%1' ถูกล็อก %2
A total of %1 record(s) were updated.,อัพเดตทั้งหมด %1 ระเบียนแล้ว
A total of %1 record(s) have been updated.,มีการอัปเดตบันทึก %1 รายการแล้ว
A total of %1 record(s) have been deleted.,ลบเร็กคอร์ด %1 รายการแล้ว
As low as,ราคาต่ำสุด
Are you sure you want to remove this item from your Compare Products list?,คุณแน่ใจ? ว่าต้องการล้างรายการเปรียบเทียบทั้งหมด
Are you sure you want to remove all items from your Compare Products list?,คุณแน่ใจว่าต้องการลบสินค้าทั้งหมดจากรายการเปรียบเทียบสินค้า?
Are you sure?,คุณมั่นใจหรือไม่?
A product type is not defined for the indexer.,ประเภทผลิตภัณฑ์ไม่ได้กำหนดไว้สำหรับตัวสร้างดัชนี
Apply Design to Products,ปรับใช้การออกแบบให้กับสินค้า
An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.,สินค้าที่ขายได้ถูกนำเสนอให้กับลูกค้าเป็นทางเลือกที่มีคุณภาพสูงกว่าราคาที่สูงขึ้นหรือสูงกว่าสำหรับผลิตภัณฑ์ที่ลูกค้ากำลังมองหา
and above,และสูงกว่า
Anchor Custom Title,ยึดชื่อที่กำหนดเอง
Anchor Custom Text,ยึดข้อความที่กำหนดเอง
Anchor,Anchor
An attribute with this code already exists.,มีแอตทริบิวต์กับรหัสนี้อยู่แล้ว
An attribute with the same code (%1) already exists.,มีแอตทริบิวต์ที่มีรหัสเดียวกัน (%1) อยู่แล้ว
An attribute set named '%1' already exists.,มีชุดแอตทริบิวต์ชื่อ '%1' อยู่แล้ว
"An attribute group named ""/name/"" already exists.","มีกลุ่มแอตทริบิวต์ชื่อ ""/name/"" อยู่แล้ว"
A name is required.,ต้องระบุชื่อ
AM,AM
Alt Text,ข้อความสำรอง
All Websites,เว็บไซต์ทั้งหมด
All Store Views,มุมมองร้านค้าทั้งหมด
"All products - recently added products, New products - products marked as new",ผลิตภัณฑ์ทั้งหมด - ผลิตภัณฑ์ที่เพิ่งเพิ่มผลิตภัณฑ์ใหม่ - ผลิตภัณฑ์ที่ทำเครื่องหมายว่าใหม่
All products,สินค้าทั้งหมด
Allow Multiple Boxes for Shipping,อนุญาตให้มีหลายช่องทางสำหรับจัดส่ง
Allow HTML Tags on Storefront,อนุญาตให้มีแท็ก HTML ที่หน้าร้าน
"Allowed file types: jpeg, gif, png.","ประเภทไฟล์ที่อนุญาต: jpeg, gif, png"
Allow Dynamic Media URLs in Products and Categories,อนุญาต URL สื่อแบบไดนามิกในผลิตภัณฑ์และหมวดหมู่
Allow All Products per Page,อนุญาตผลิตภัณฑ์ทั้งหมดต่อหน้า
ALL GROUPS,ทุกกลุ่ม
All,ทั้งหมด
A group with the same name already exists.,มีกลุ่มที่มีชื่อเดียวกันอยู่แล้ว
Advanced Settings,ตั้งค่าขั้นสูง
Advanced Pricing,ราคาขั้นสูง
Advanced Inventory,พื้นที่โฆษณาขั้นสูง
Advanced Attribute Properties,คุณสมบัติแอตทริบิวต์ขั้นสูง
Add Value,เพิ่มข้อมูล
Add Up-Sell Products,เพิ่มผลิตภัณฑ์ที่ขายได้
Add to Wish List,เพิ่มเข้าในรายการที่ต้องการ
Add to Wishlist,เพิ่มเข้าในรายการที่ต้องการ
Add to Compare,เพิ่มเพื่อเปรียบเทียบ
Add To Compare,เพิ่มเพื่อเปรียบเทียบ
Add to Column Options,เพิ่มลงในตัวเลือกคอลัมน์
Add to Cart,เพิ่มในตะกร้า
Add to Cart,เพิ่มในตะกร้า
Add this attribute to the list of filter options in the product grid.,เพิ่มแอตทริบิวต์นี้ในรายการตัวเลือกตัวกรองในตารางผลิตภัณฑ์
Add this attribute to the list of column options in the product grid.,เพิ่มแอตทริบิวต์นี้ลงในรายการตัวเลือกคอลัมน์ในตารางผลิตภัณฑ์
Add Subcategory,เพิ่มหมวดหมู่ย่อย
Add Selected Products,เพิ่มผลิตภัณฑ์ที่เลือก
Add Selected,พิ่มสิ่งที่เลือก
Add Root Category,เพิ่มหมวดหมู่
Add Related Products,เพิ่มสินค้าที่เกี่ยวข้อง
Add Product To Websites,เพิ่มผลิตภัณฑ์ในเว็บไซต์
Add Product,เพิ่มสินค้า
Add Price,เพิ่มราคา
Add Option,เพิ่มตัวเลือก
Add New Row,เพิ่มแถวใหม่
Add New Option,เพิ่มตัวเลือกใหม่
Add New Images,เพิ่มรูปภาพใหม่
Add New Group,เพิ่มกลุ่มใหม่
Add New Attribute Set,เพิ่มชุดแอตทริบิวต์ใหม่
Add New Attribute,เพิ่มแอตทริบิวต์ใหม่
Add New,เพิ่มใหม่
Adding...,กำลังเพิ่ม ...
Add Group,เพิ่มกลุ่ม
Added,เพิ่ม
Add Cross-Sell Products,เพิ่มผลิตภัณฑ์ข้ามการขาย
Add CMS Block,เพิ่ม CMS Block
Add Attribute Set,เพิ่มชุดแอตทริบิวต์
Add Attribute,เพิ่มแอตทริบิวต์
Actions,การกระทำ
Action,การกระทำ
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.",86400 ตามค่าเริ่มต้นหากไม่ได้ตั้งค่า เมื่อต้องการรีเฟรชทันทีให้ล้างแคช Output HTML Output
24h,24 ชั่วโมง
1 item,1 ชิ้น
12h AM/PM,12.00 AM / PM
1%,1%
"<label class=""label""><span>to</span></label>","<label class=""label""><span>ถึง </span></label>"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>จาก</span></label>"
%1 was not found in algorithms,%1 ไม่พบในอัลกอริทึม
%1 - Special Products,%1 - ผลิตภัณฑ์พิเศษ
%1 items,%1 รายการ
%1 Items,%1 รายการ
%1 Item,%1 รายการ
%1 has reached a quantity of %2.,%1 มีจำนวน %2 แล้ว
%1 doesn't extends \Magento\Framework\Model\AbstractModel,%1 ไม่ขยาย \Magento\Framework\Model\AbstractModel
%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price,%1 ไม่ขยาย \Magento\Catalog\Model\Product\Type\Price
%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType,%1 ไม่ขยาย \Magento\Catalog\Model\Product\Type\AbstractType
%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType,%1 ไม่ขยาย \Magento\Catalog\Model\Product\Option\Type\DefaultType
%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter,%1 ไม่ขยาย \Magento\Catalog\Model\Layer\Filter\AbstractFilter
%1 doesn't extend \Magento\Framework\Filter\Template,%1 ไม่ขยาย \Magento\Framework\Filter\Template
%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice,%1 ไม่ขยาย \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice
%1 doesn't extend \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface,%1 ไม่ขยาย \Magento\Catalog\Model\Layer\Filter\Dynamic\AlgorithmInterface
%1 and above,%1 ขึ้นไป
%1 <span>x</span> %2 <span>px.</span>,%1 <span>x</span> %2 <span>px.</span>
%1 - %2,%1 - %2
* Required Fields,* ฟิลด์ที่จำเป็น
{width}^{height} px,{width}^{height} px
{size},{size}
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
[GLOBAL],[GLOBAL]
(Copy data from: %1),(คัดลอกข้อมูลจาก: %1)
123,123
You saved the event.,คุณบันทึกชุดแอตทริบิวต์แล้ว
You deleted the event.,คุณลบกิจกรรมแล้ว
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","คุณสามารถแทนที่ค่าเริ่มต้นนี้ใน CMS โดยใช้ตัวแปร limit = ""x"" ปล่อยให้ว่างเปล่าโดยไม่มีข้อจำกัด"
"You can override this default value in CMS using the limit=""x"" variable.","คุณสามารถแทนที่ค่าเริ่มต้นนี้ใน CMS โดยใช้ตัวแปร limit = ""x"" "
We did not upload your image.,เราไม่ได้อัปโหลดภาพของคุณ
View Sale,ดูยอดขาย
Use Default Value,ใช้ค่าเริ่มต้น
Upcoming,ที่จะเกิดขึ้น
This product is no longer on sale.,ผลิตภัณฑ์นี้ไม่มีจำหน่ายแล้ว
Status,สถานะ
Start Date,วันที่เริ่มต้น
Start,เริ่ม
Sort Order,เรียงลำดับ
Something went wrong while saving this event.,เกิดข้อผิดพลาดขณะบันทึกกิจกรรมนี้
Some of these products can no longer be sold.,ผลิตภัณฑ์เหล่านี้บางส่วนไม่สามารถขายได้อีกต่อไป
Select Category,เลือกประเภท
Sec,วินาที
Scroll,เลื่อน
Save and Continue Edit,บันทึกและแก้ไขต่อ
Sale Ends In,การขายสิ้นสุดลง
Product Page,หน้าผลิตภัณฑ์
Previous,ก่อน
Preview Sale,ดูตัวอย่าง
Please make sure the end date follows the start date.,โปรดตรวจสอบว่าวันที่สิ้นสุดเป็นไปตามวันที่เริ่มต้น
Open,เปิด
Number of Items to scroll per click,จำนวนรายการที่จะเลื่อนไปต่อคลิก
Number of Items to display at once,จำนวนรายการที่จะแสดงพร้อมกัน
Number of Events to be Displayed in Event Slider Widget,จำนวนกิจกรรมที่จะแสดงในวิดเจ็ต Slider เหตุการณ์
Next,ถัดไป
New Event,กิจกรรมใหม่
Mins,นาที
Lister Block,Lister Block
List all open Catalog Events as a Paginated Carousel,แสดงรายการกิจกรรมแค็ตตาล็อกแบบเปิดทั้งหมดเป็นภาพหมุน
Image,รูปภาพ
"If empty, we'll automatically set the width value in pixels.",ถ้าว่างเราจะกำหนดค่าความกว้างเป็นพิกเซลโดยอัตโนมัติ
ID,ID
Hrs,ชั่วโมง
Go To Sale,ไปขาย
Frame Size,ขนาดเฟรม
Events to Scroll per Click in Event Slider Widget,กิจกรรมที่จะเลื่อนไปตามที่คลิกในวิดเจ็ตสไลด์เหตุการณ์
Events,เหตุการณ์ที่เกิดขึ้น
Event for selected category,กิจกรรมสำหรับหมวดหมู่ที่เลือก
End Date,วันสุดท้าย
End,สิ้นสุด
Enable Catalog Event Widget on Storefront,เปิดใช้วิดเจ็ตกิจกรรมของแคตาล็อกบนหน้าร้าน
Enable Catalog Events Functionality,เปิดใช้ฟังก์ชันเหตุการณ์ของแค็ตตาล็อก
Edit Event,แก้ไขกิจกรรม
Edit Catalog Event,แก้ไขกิจกรรมในแคตาล็อก
Edit,แก้ไข
Display Countdown Ticker On,เปิดการนับถอยหลังนับถอยหลัง
Default Values,ค่าเริ่มต้น
Days,วัน
Countdown Ticker,นับถอยหลัง
Coming Soon,เร็ว ๆ นี้
Closed,ปิดเรียบร้อยแล้ว
Category Page,หน้าหมวดหมู่
Category ID,รหัสหมวดหมู่
Category,ประเภท
Catalog Events Carousel Default Template,แค็ตตาล็อกเทมเพลตเริ่มต้นแบบ Carousel
Catalog Events Carousel,แคริเบียนแคริเซลเลอร์
Catalog Events,กิจกรรมในแค็ตตาล็อก
Catalog Event Information,แค็ตตาล็อกข้อมูลเหตุการณ์
Catalog,รายการสินค้า
Block Custom Width,บล็อกความกว้างที่กำหนดเอง
Back to Category,กลับไปที่หมวดหมู่
Add Event,เพิ่มกิจกรรม
Add Catalog Event,เพิ่มกิจกรรมแคตาล็อก
Action,การกระทำ
%1 is required.,%1 เป็นสิ่งจำเป็น
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
[GLOBAL],[GLOBAL]
"Wrong attribute set code ""%1"", please correct it and try again.","รหัสชุดแอตทริบิวต์ผิด ""%1"", โปรดแก้ไขและลองอีกครั้ง"
Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,ค่าสำหรับแอตทริบิวต์ย่อย 'ราคา' ในแอตทริบิวต์ 'custom_options' มีค่าไม่ถูกต้อง
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","ค่าสำหรับแอ็ตทริบิวต์ย่อย 'ชนิด' ในแอตทริบิวต์ 'custom_options' มีค่าไม่ถูกต้องค่าที่ยอมรับได้คือ: 'dropdown', 'checkbox'"
Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,ค่าสำหรับแอตทริบิวต์ย่อย 'สั่งซื้อสินค้า' ในแอตทริบิวต์ 'custom_options' มีค่าไม่ถูกต้อง
Value for 'price' sub attribute in 'store' attribute contains incorrect value,ค่าสำหรับแอตทริบิวต์ย่อย 'ราคา' ในแอตทริบิวต์ 'store' มีค่าไม่ถูกต้อง
Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,ค่าสำหรับแอตทริบิวต์ย่อย 'ราคา' ในแอตทริบิวต์ 'custom_options' มีค่าไม่ถูกต้อง
Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,ค่าสำหรับแอตทริบิวต์ย่อย 'อักขระสูงสุด' ในแอตทริบิวต์ 'custom_options' มีค่าไม่ถูกต้อง
This name is already being used for custom option. Please enter a different name.,ชื่อนี้ใช้อยู่แล้วสำหรับตัวเลือกที่กำหนดเอง โปรดป้อนชื่ออื่น
There are no product types available for export.,คีย์ URL นี้ถูกใช้งานแล้ว
Please enter a value for title.,โปรดป้อนค่าสำหรับชื่อ
Please correct the parameters.,โปรดแก้ไขพารามิเตอร์
File directory '%1' is not writable.,ไดเรกทอรีไฟล์ '%1' ไม่สามารถเขียนได้
File directory '%1' is not readable.,ไม่สามารถอ่านไดเรกทอรีแฟ้ม '%1' ได้
File '%1' was not found or has read restriction.,ไม่พบไฟล์ '%1' หรือมีข้อ จำกัด ในการอ่าน
Every option entity must have a parent product entity.,เอนทิตีตัวเลือกทุกตัวต้องมีเอนทิตีผลิตภัณฑ์หลัก
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,รูปแบบเอนทิตี้ของต้องเป็นอินสแตนซ์ของ \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
Entity type model must be an instance of ' .,แบบจำลองเอนทิตีจะต้องเป็นอินสแตนซ์ของ '.
Entity type model '%1' is not found,ไม่พบรูปแบบประเภทเอนทิตี '%1'
Custom options have different types.,ตัวเลือกที่กำหนดเองมีรูปแบบต่างๆ
"Category ""%1"" has not been created.","ยังไม่ได้สร้าง ""%1"" หมวดหมู่"
You can buy this product only in quantities of %1 at a time.,คุณสามารถซื้อผลิตภัณฑ์นี้ได้ในปริมาณ %1 ในแต่ละครั้งเท่านั้น
You can buy %1 only in quantities of %2 at a time.,คุณสามารถซื้อ %1 ได้เฉพาะในปริมาณ %2 ในแต่ละครั้งเท่านั้น
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","เราไม่มี ""%1"" มากเท่าที่คุณต้องการ แต่เราจะสั่งซื้อ %2 ที่เหลืออยู่"
"We don't have as many ""%1"" as you requested.","เราไม่มี ""%1"" มากเท่าที่คุณต้องการ"
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","เราไม่มี ""%1"" ในปริมาณที่ขอดังนั้นเราจะสั่งซื้อ %2 ที่เหลืออยู่"
We can't rebuild the index for an undefined product.,เราไม่สามารถสร้างดัชนีสำหรับผลิตภัณฑ์ที่ไม่ได้กำหนดไว้ได้
Use Config Settings,ใช้การตั้งค่า Config
Undefined product type,ประเภทผลิตภัณฑ์ที่ไม่ได้กำหนด
Unable to save Stock Status,ไม่สามารถบันทึกสถานะสต็อค
Unable to save Stock Item,ไม่สามารถบันทึกสต็อค
Unable to save Stock,ไม่สามารถบันทึกสต็อค
"Unable to remove Stock with id ""%1""","ไม่สามารถนำสต็อกที่มีรหัส ""%1"" ออก"
Unable to remove Stock Status for product %1,ไม่สามารถลบสถานะสต็อคสำหรับผลิตภัณฑ์ %1
"Unable to remove Stock Item with id ""%1""","ไม่สามารถนำรายการสินค้าที่มีรหัส ""%1"" ออก"
This product is out of stock.,สินค้าหมดสต็อก
The stock item for Product is not valid.,แท็บนี้มีข้อมูลที่ไม่ถูกต้อง โปรดแก้ไขปัญหานี้ก่อนบันทึก
The stock item for Product in option is not valid.,ไม่สามารถลบประเภทฟอร์มระบบนี้ได้
The most you may purchase is %1.,รีจิสตรีของขวัญนี้ไม่มีรายการใด ๆ
The fewest you may purchase is %1.,"ตัวระบุนี้สงวนไว้สำหรับ ""CMS Home Page"" ในการกำหนดค่า"
"Stock with id ""%1"" does not exist.","ไม่มีสต็อคที่มีรหัส ""%1"" อยู่"
Stock Status,สถานะสต็อค
Stock Options,ตัวเลือกคลังสินค้า
"Stock Item with id ""%1"" does not exist.","ไม่มีสต็อกสินค้าที่มีรหัส ""%1"" อยู่"
Stock,คลังสินค้า
Some of the products are out of stock.,บางส่วนของผลิตภัณฑ์หมดแล้ว
Set Items' Status to be In Stock When Order is Cancelled,ตั้งค่าสถานะของรายการในสต็อกเมื่อคำสั่งซื้อถูกยกเลิก
Quantity,จำนวน
Qty Uses Decimals,จำนวนใช้ทศนิยม
Qty Increments,จำนวนเพิ่มขึ้น
Qty,จำนวน
"Product with SKU ""%1"" does not exist","ไม่มีผลิตภัณฑ์ที่มีรหัสสินค้า  ""%1"""
Products will still be shown by direct product URLs.,ผลิตภัณฑ์จะยังคงแสดงโดย URL ผลิตภัณฑ์โดยตรง
Product Stock Options,ตัวเลือกหุ้นผลิตภัณฑ์
Product Name,ชื่อสินค้า
Product availability,ความพร้อมของผลิตภัณฑ์
"Please note that these settings apply to individual items in the cart, not to the entire cart.",โปรดทราบว่าการตั้งค่าเหล่านี้ใช้กับแต่ละรายการในรถเข็นไม่ใช่สำหรับรถเข็นทั้งหมด
Please correct the quantity for some products.,โปรดแก้ไขปริมาณสำหรับผลิตภัณฑ์บางอย่าง
Out-of-Stock Threshold,สินค้าหมด
Out of Stock,สินค้าหมด
Only X left Threshold,เฉพาะเกณฑ์ X ซ้าย
Only %1 left,เหลือเพียง %1
Notify for Quantity Below,แจ้งเตือนเมื่อจำนวนต่ำกว่า
Not all of your products are available in the requested quantity.,ผลิตภัณฑ์บางอย่างของคุณไม่สามารถใช้ได้ในปริมาณที่ต้องการ
No Backorders,ไม่มีรายการสั่งซื้อล่วงหน้า
Minimum Qty Allowed in Shopping Cart,จำนวนน้อยสุดที่อนุญาตให้มีในรถเข็น
Minimum Qty,จำนวนขั้นต่ำ
Maximum Qty Allowed in Shopping Cart,จำนวนสูงสุดที่อนุญาตให้มีในรถเข็น
Manage Stock,จัดการคลังสินค้า
Inventory Section,หมวดพื้นที่โฆษณา
Inventory,สินค้าในคลังสินค้า
Invalid stock item id: %1. Should be null or numeric value greater than 0,รหัสสินค้าคงคลังไม่ถูกต้อง: %1 ควรเป็นค่าว่างหรือตัวเลขมากกว่า 0
Invalid stock item id: %1. Assigned stock item id is %2,รหัสสินค้าคงคลังไม่ถูกต้อง: %1 รหัสสินค้าคงคลังที่มอบหมายคือ %2
Invalid stock id: %1. Only default stock with id %2 allowed,รหัสหุ้นไม่ถูกต้อง: %1 อนุญาตเฉพาะสต็อคที่เป็นค่าเริ่มต้นด้วย id %2 เท่านั้น
In Stock,สินค้าพร้อมส่ง
Index stock,หุ้นดัชนี
Enable Qty Increments,เปิดใช้งานจำนวนเพิ่มขึ้น
Display Products Availability in Stock on Storefront,แสดงผลิตภัณฑ์ในคลังสินค้าบนหน้าร้าน
Display Out of Stock Products,แสดงผลิตภัณฑ์ที่ไม่มีในสต็อก
Decrease Stock When Order is Placed,ลดจำนวนสินค้าในสต๊อกเมื่อมีการสั่งคำสั่งซื้อ
Decimal qty increments is not allowed.,จำนวนที่เพิ่มขึ้นทศนิยมไม่ได้รับอนุญาต
Customer Group,กลุ่มลูกค้า
Could not rebuild index for empty products array,ไม่สามารถสร้างดัชนีสำหรับอาร์เรย์ผลิตภัณฑ์ว่างเปล่าได้
Backorders,คำสั่งซื้อล่วงหน้า
Automatically Return Credit Memo Item to Stock,ส่งคืนรายการบันทึกเครดิตไปยังสต็อคโดยอัตโนมัติ
Allow Qty Below 0 and Notify Customer,อนุญาตจำนวนต่ำกว่า 0 และแจ้งให้ลูกค้าทราบ
Allow Qty Below 0,อนุญาตปริมาณต่ำกว่า 0
Allow Multiple Boxes for Shipping,อนุญาตให้มีหลายช่องทางสำหรับจัดส่ง
ALL GROUPS,ทุกกลุ่ม
Advanced Inventory,พื้นที่โฆษณาขั้นสูง
Add Minimum Qty,เพิ่มจำนวนขั้นต่ำ
%1 is not a correct comparison method.,%1 ไม่ใช่วิธีการเปรียบเทียบที่ถูกต้อง
%1 is available to buy in increments of %2,%1 มีให้ซื้อในจำนวนที่เพิ่มขึ้นของ %2
You may need more permissions to access this product.,คุณอาจต้องการสิทธิ์เพิ่มเติมในการเข้าถึงผลิตภัณฑ์นี้
You may need more permissions to access this category.,คุณอาจต้องการสิทธิ์เพิ่มเติมในการเข้าถึงหมวดหมู่นี้
"You cannot add ""%1"" to the cart.","คุณไม่สามารถเพิ่ม  ""%1"" ลงในรถเข็นได้"
You already have a permission with this scope.,คุณมีสิทธิ์ในขอบเขตนี้อยู่แล้ว
"Yes, for Specified Customer Groups",ใช่ สำหรับลูกค้าเฉพาะกลุ่ม
"Yes, for Everyone",ใช่ สำหรับทุกคน
Website,เว็บไซต์
Use parent,ใช้แม่แบบ
-- Please Select --,-- กรุณาเลือก --
Permission with the same scope,อนุญาตด้วยขอบเขตเดียวกัน
Permissions do not depend on store views.,สิทธิ์ไม่ขึ้นอยู่กับมุมมองร้านค้า
"No, Redirect to Landing Page",ไม่เปลี่ยนเส้นทางไปยังหน้า Landing Page
No,ไม่
New Permission,การอนุญาตใหม่
Landing Page,หน้า Landing Page
Indexed permissions for products,การจัดทำดัชนีสิทธิ์สำหรับผลิตภัณฑ์
Indexed permissions for categories,การจัดทำดัชนีสิทธิ์สำหรับหมวดหมู่
Enable,เปิดใช้งาน
Display Product Prices,แสดงราคาผลิตภัณฑ์
Disallow Catalog Search By,Disallow ค้นหาโดย
Deny,ปฏิเสธ
Customer Groups,กลุ่มลูกค้า
